poblacio	N	males	females	richness	evenness	minutes	date
1r Bazerque	66	31	35	4	0.713741282	44	104
2n Bazerque	81	34	47	5	0.664705486	42	104
3r Bazerque	91	44	47	4	0.710840453	84	104
Angostrina morrena	78	47	30	5	0.77700606	130	64
Arnhac	43	14	29	3	0.640395131	55	125
Arnava	63	32	31	4	0.779343662	113	26
Ascon	78	33	45	3	0.591304144	187	133
Aston	38	16	22	3	0.63549792	100	141
Ausat	39	18	21	3	0.585406925	80	125
Acs	52	33	19	3	0.810875697	78	20
Acs cementeri	85	44	41	4	0.522262271	44	38
Axiat	47	15	32	3	0.710543423	100	126
baix Coll Pailhères	26	14	12	3	0.625418116	54	46
Bolquera	79	35	44	5	0.660131735	98	137
Bonascre	28	11	17	3	0.844264793	75	45
Bor	31	21	10	5	0.740515758	95	4
Bordes d'en Haut	51	21	30	4	0.852247535	68	13
Brangolí	35	23	12	5	0.864084057	92	68
Caissacs	26	12	14	3	0.719332904	110	126
Cal Jan	33	11	22	5	0.747439904	127	147
Caos Targasona	29	18	11	4	0.832380861	73	21
castell Pimorent	28	12	16	3	0.920285843	51	67
Cauders de Conflent	82	36	46	5	0.626249007	60	136
Causson	30	20	10	3	0.783580704	96	108
cementeri Sabart	51	21	30	3	0.589630838	82	26
Central Targasona	37	19	18	4	0.778827947	103	21
Cereja	52	31	21	5	0.940090187	101	22
Coll de Pimorent	58	34	24	4	0.648468842	115	48
Collada de Tosses	26	9	17	2	0.51594693	40	53
Coma Oriola	50	24	26	3	0.77021713	115	33
Cortal de l'Hereu Mateu	40	16	24	5	0.780595797	128	95
Cortvassill	36	19	17	4	0.83680576	103	39
dalt l'Ospitalet	111	73	38	5	0.757676104	129	45
dalt morrena O	40	21	19	5	0.812656501	100	56
Dent d'Orlú	35	12	23	3	0.460818477	38	130
Dorres	51	29	22	5	0.769839616	108	58
Èguet	92	59	33	5	0.768944903	135	13
Eina	92	45	47	4	0.637013039	105	117
embassament Laparan	26	15	11	3	0.913570239	135	141
embassament Riet	29	11	18	4	0.604019698	95	141
Er	71	35	36	5	0.754529197	105	123
Estana	25	12	13	3	0.482102292	63	130
Estany de Lers	35	14	21	2	0.040625314	39	149
Estany de Vallserra	30	15	15	3	0.935286293	86	136
Estavar	41	25	16	4	0.77516131	130	13
Fanguil	51	24	27	3	0.812516299	70	123
Font Cerdana	27	17	10	3	0.457661256	64	138
Fontviva baix	30	11	19	3	0.979448546	115	43
Fontviva dalt	90	45	45	3	0.805465364	90	61
Fontviva mas derruït	25	9	16	3	0.859037316	55	43
Forges d'Orlú	36	16	20	5	0.762772046	74	46
Formiguera	36	16	20	4	0.558688368	82	127
Freite	26	9	17	3	0.697563759	52	116
Gaudú	31	14	17	3	0.911596787	60	122
Gaudú dalt	33	8	25	3	0.904614641	70	123
Ger	42	30	12	4	0.602768853	90	4
